Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Mandarine,Fruit,Commun,Unitaire,7,100,53.0,0.8,13.3,0.3,1.8,30
Mangue,Fruit,Commun,Unitaire,200,200,60.0,0.8,15.0,0.4,1.6,60
Marron,Feculent,Rare,,50,20,213.0,2.4,45.5,2.2,8.3,60
Mars,Snack,Commun,Unitaire,47,50,475.0,4.4,72.2,19.0,1.3,62
Melon,Fruit,Commun,Unitaire,3,2000,34.0,0.8,8.2,0.2,0.9,60
Miel,Tartinade,Commun,Liquide,2,2,304.0,0.3,82.4,0.0,0.2,60
Mojito,Alcool,Commun,Unitaire,100,100,110.0,0.1,9.0,0.2,0.1,0
Morue,Poisson,Rare,,30,100,105.0,23.0,0.0,0.9,0.0,0
Moutarde,Sauce,Commun,Liquide,123,15,66.0,4.4,5.8,4.0,3.3,0
Mûres,Fruit,Commun,Petit,170,2,43.0,1.4,9.6,0.5,5.3,25
Myrtilles,Fruit,Rare,Petit,304,0.5,57.0,0.7,14.5,0.3,2.4,25
Noisettes,Oleagineux,Commun,Petit,286,1,628.0,14.1,16.7,60.8,9.7,15
Noix,Oleagineux,Commun,Petit,100,1,654.0,15.2,13.7,65.2,6.7,15
Noix de coco,Oleagineux,Commun,Unitaire,178,300,354.0,3.3,15.2,33.5,9.0,45
Noix de macadamia,Oleagineux,Rare,Petit,2,1,718.0,7.9,13.8,75.8,8.6,15
Noix de pécan,Oleagineux,Rare,Petit,119,1,691.0,9.2,13.9,72.0,9.6,15
Nouille instantanée,PlatPrepare,Commun,Unitaire,100,100,471.0,8.2,59.0,21.0,2.4,55
Oasis,Boisson,Commun,Unitaire,330,330,33.0,0.0,7.9,0.0,0.0,0
Oeuf,Viande,Commun,Unitaire,60,60,143.0,12.0,1.1,11.0,0.0,0
Oignon,Legume,Commun,Unitaire,205,110,40.0,1.1,9.3,0.1,1.7,15
Olive,Oleagineux,Commun,Petit,5,5,115.0,0.8,6.3,10.7,3.2,15
Orange,Fruit,Commun,Unitaire,66,200,47.0,0.9,11.8,0.1,2.4,35
Oreo,Snack,Commun,Unitaire,15,15,483.0,4.9,72.0,19.5,2.7,0
pain au chocolat,Patisserie,Commun,Unitaire,100,60,406.0,7.7,44.5,22.6,2.6,70
pain aux raisins,Patisserie,Commun,Unitaire,100,60,361.0,7.2,45.1,16.4,2.1,70
Pain complet,Pain,Commun,Unitaire,4,50,247.0,13.0,41.0,4.4,6.8,50
Pamplemousse,Fruit,Commun,Unitaire,20,230,42.0,0.8,10.7,0.1,1.6,25
Panais,Legume,Rare,Unitaire,49,50,75.0,1.2,17.9,0.3,4.9,85
Papaye,Fruit,Rare,Unitaire,15,500,43.0,0.5,10.8,0.3,1.7,60
Pastèque,Fruit,Commun,Tranche,100,5000,30.0,0.6,7.6,0.2,0.4,75
Patate douce,Feculent,Commun,Unitaire,185,100,90.0,2.0,21.0,0.1,3.3,70
Pêche,Fruit,Commun,Unitaire,20,150,39.0,0.9,9.5,0.3,1.5,35
Piment,Legume,Commun,Unitaire,15,15,40.0,2.0,9.5,0.4,1.5,15
Pina colada,Alcool,Commun,Unitaire,270,270,174.0,0.5,17.0,10.0,0.2,0
Pistache,Oleagineux,Commun,Petit,150,1,562.0,20.2,27.5,45.4,10.6,15
Poire,Fruit,Commun,Unitaire,120,150,57.0,0.4,15.2,0.1,3.1,35
